,state,team,cnt,avg,povern
1,North Carolina,pistons,34,0.19738125,7
2,Tennessee,pacers,355,0.311893939,5.6
3,Utah,rockets,235,0.04577957,2.1
4,Mississippi,cavaliers,136,0.020180488,0.863636364
5,New York,raptors,139,0.257430556,8
6,Virginia,raptors,25,0.253753333,4
7,Pennsylvania,kings,55,-0.129803571,0.555555556
8,Texas,hornets,106,-0.14064375,0.066666667
9,Texas,timberwolves,286,0.176880303,2.666666667
10,Iowa,celtics,22,0.49905,3
11,Kentucky,celtics,151,0.281368,5.25
12,Utah,blazers,7,0.04785,1
13,Colorado,nuggets,472,-0.083447619,0.647058824
14,Indiana,kings,40,-0.194933333,0.5
15,South Carolina,celtics,145,0.212851613,1.214285714
16,Utah,knicks,22,0.03122,4
17,Connecticut,warriors,64,0.380626923,12
18,Colorado,grizzlies,16,0.154275,3
19,Georgia,jazz,82,-0.110874359,0.181818182
20,Kentucky,thunder,220,0.324444595,17.5
21,New Mexico,sixers,157,-0.274976471,0.214285714
22,Arkansas,cavaliers,172,-0.097972619,0.272727273
23,Delaware,sixers,280,-0.397577574,0.014925373
24,Iowa,jazz,13,-0.0602,0.333333333
25,Massachusetts,pacers,520,0.260663553,4.055555556
26,New Hampshire,pelicans,25,0.126094444,5
27,Ohio,celtics,424,0.30317963,3.764705882
28,Pennsylvania,warriors,202,0.011522794,1
29,Oregon,thunder,169,0.491431667,6.5
30,California,jazz,409,-0.140788697,0.474576271
31,Ohio,timberwolves,55,0.287586364,4.5
32,Arizona,suns,127,-0.147144737,0.727272727
33,Arizona,timberwolves,58,0.305861538,12
34,California,pelicans,784,-0.061260459,1.063157895
35,Georgia,timberwolves,85,0.25471,1.5
36,Indiana,jazz,31,-0.05395,0.333333333
37,Kentucky,sixers,316,-0.321761268,0.290909091
38,Arizona,celtics,415,0.242321569,3.636363636
39,Maryland,thunder,424,0.387916667,6
40,Ohio,nets,10,0.093825,1
41,Tennessee,thunder,295,0.314310976,3.555555556
42,Texas,wizards,85,0.064377083,1
43,Florida,warriors,346,0.079889516,1.818181818
44,Michigan,wizards,25,-0.209678571,0.166666667
45,Minnesota,bulls,91,-0.112431579,0.9
46,North Carolina,kings,22,0.06128,1.5
47,Wisconsin,knicks,31,0.0288,2
48,Minnesota,knicks,16,0.2598375,3
49,Ohio,heat,58,0.197316667,3.5
50,Pennsylvania,cavaliers,964,0.026272555,0.855555556
51,Wisconsin,timberwolves,52,0.001244444,2
52,Arizona,thunder,304,0.42224697,4.5
53,Illinois,blazers,103,-0.320714286,0.166666667
54,Michigan,grizzlies,16,0.254466667,2
55,New Jersey,jazz,52,-0.26713125,0.142857143
56,Oklahoma,jazz,94,-0.115171429,0.75
57,Indiana,lakers,127,0.251564306,3.8
58,Louisiana,knicks,49,0.103271429,2.5
59,Minnesota,lakers,97,0.168926087,2.833333333
60,North Carolina,pacers,628,0.224971111,4.25
61,Rhode Island,sixers,58,-0.081885,0.666666667
62,Utah,sixers,205,-0.27305625,0.263157895
63,Maryland,warriors,154,-0.064061111,0.666666667
64,Oklahoma,nuggets,61,0.06250625,1.666666667
65,Oregon,kings,34,-0.122425,1
66,Rhode Island,rockets,79,0.032286667,1.5
67,West Virginia,pelicans,13,0.11575,2
68,Indiana,bulls,157,0.057115789,1.235294118
69,West Virginia,sixers,166,-0.318478049,0.138888889
70,Georgia,hornets,121,-0.0145375,0.333333333
71,Maine,celtics,88,0.288793333,4
72,North Carolina,thunder,499,0.294558073,3.571428571
73,Texas,pacers,2041,0.269705081,4.723404255
74,Kansas,raptors,25,-0.000564583,1.666666667
75,Kentucky,warriors,73,0.082391026,1.6
76,North Carolina,hornets,685,-0.114437273,0.41025641
77,Wisconsin,blazers,28,-0.1844,0.5
78,Colorado,cavaliers,547,0.163666071,1.24
79,Iowa,nuggets,1015,-0.095845833,1
80,Kansas,lakers,175,0.058101852,0.8
81,Michigan,raptors,19,-0.18219,0.666666667
82,Maryland,hornets,16,0.010616667,0.5
83,Virginia,warriors,178,0.11299359,2.545454545
84,Alabama,bulls,22,0.25954,4
85,Florida,pistons,181,0.207977273,5.285714286
86,Missouri,pelicans,73,-0.029271795,1.6
87,Nebraska,thunder,40,0.54675,4
88,Ohio,thunder,559,0.321889778,2.947368421
89,Alabama,pelicans,52,0.122438333,2.333333333
90,California,cavaliers,3580,0.105014648,1.223744292
91,Colorado,hawks,28,0.128275,1
92,Illinois,rockets,1540,-0.02089432,1.23
93,Nevada,sixers,472,-0.276712255,0.307692308
94,Virginia,wizards,52,0.065833333,1
95,District of Columbia,rockets,535,0.009104427,1.461538462
96,Massachusetts,jazz,58,0.076054762,0.75
97,Oregon,cavaliers,244,-0.008251316,0.652173913
98,Delaware,celtics,16,0.05645,0.5
99,Illinois,pacers,1012,0.187918426,3.363636364
100,Illinois,timberwolves,160,0.130023913,2.285714286
101,Minnesota,rockets,262,0.04566844,1.611111111
102,Missouri,hawks,13,0.23935,1
103,Indiana,thunder,1789,0.229327615,4.150684932
104,Kansas,magic,22,-0.058375,1
105,Nevada,cavaliers,421,0.083327083,0.8
106,New York,pelicans,355,0.237022159,4.176470588
107,Alaska,rockets,37,0.053542857,2.5
108,Michigan,kings,22,0.2794,5
109,California,timberwolves,310,0.341296154,15.25
110,Georgia,sixers,985,-0.363979494,0.186335404
111,Michigan,clippers,76,0.279009167,5.666666667
112,Michigan,suns,25,0.0927,2
113,Washington,hawks,10,0.151066667,2
114,Indiana,raptors,13,0.058566667,2
115,Massachusetts,hornets,28,0.0553,0.5
116,South Dakota,blazers,7,-0.133125,1
117,North Carolina,nuggets,37,-0.317557143,0.4
118,South Dakota,thunder,16,0.4440875,3
119,District of Columbia,pelicans,25,0.286128571,6
120,New York,lakers,640,0.102400546,1.837209302
121,Arkansas,pistons,19,-0.024022222,2
122,Colorado,mavericks,19,-0.1784,0.5
123,Colorado,sixers,370,-0.389669178,0.196721311
124,District of Columbia,thunder,139,0.207190972,2
125,Nevada,celtics,346,0.456658088,12.6
126,New York,pistons,313,0.165644898,2.5
127,Rhode Island,celtics,202,0.346798276,3.833333333
128,Washington,wizards,28,-0.077528571,0.75
129,Arizona,wizards,34,0.078559259,1.25
130,California,raptors,550,0.066722814,0.967741935
131,Missouri,warriors,166,0.087207527,1.583333333
132,Alaska,pacers,28,-0.458788889,0.5
133,Maine,sixers,22,-0.131725,0.5
134,Ohio,nuggets,67,0.130676667,1.5
135,Oklahoma,rockets,676,0.057753641,1.833333333
136,Pennsylvania,bulls,64,-0.236627273,0.375
137,Indiana,pelicans,76,0.254877778,20
138,Ohio,pistons,61,0.217512821,12
139,California,warriors,1906,0.038319117,1.440217391
140,District of Columbia,raptors,16,0.014633333,0.5
141,Idaho,rockets,112,0.074086508,1.333333333
142,Maryland,lakers,232,0.224561538,3.875
143,Maryland,pistons,49,0.22337,4
144,New Jersey,bulls,61,-0.36514,0.111111111
145,South Carolina,blazers,25,-0.055625,0.333333333
146,Nebraska,cavaliers,151,0.10482619,1.1
147,Tennessee,knicks,88,-0.1879375,0.333333333
