,state,team,cnt,avg,povern
148,Texas,hawks,115,0.322285185,3.5
149,Texas,pelicans,448,0.19445372,4.894736842
150,Colorado,thunder,169,0.401003571,13
151,California,rockets,3706,0.082540267,2.06372549
152,California,thunder,2614,0.392975385,4.164179104
153,District of Columbia,lakers,70,0.024507407,0.8
154,Kansas,blazers,52,-0.290475,0.333333333
155,Georgia,hawks,406,0.235884889,2.947368421
156,Louisiana,thunder,268,0.107664516,1.384615385
157,New Jersey,pacers,490,0.165674713,3.461538462
158,Michigan,rockets,784,0.025178148,1.547169811
159,Oklahoma,thunder,1459,0.175600066,1.767123288
160,Texas,spurs,658,0.106662251,3.052631579
161,Connecticut,rockets,226,0.136333772,2.454545455
162,Louisiana,warriors,115,0.145790789,3.75
163,Oklahoma,heat,52,0.089293333,4
164,Tennessee,kings,103,0.053114286,1.625
165,Virginia,lakers,94,0.19242963,5
166,Wisconsin,warriors,112,-0.075759091,0.833333333
167,Missouri,kings,31,0.1912875,1.666666667
168,Nevada,blazers,43,0.065033333,2
169,Utah,spurs,13,-0.323755556,0.5
170,Indiana,bucks,415,-0.188168889,0.5
171,Montana,rockets,67,-0.321152381,0.166666667
172,Virginia,celtics,340,0.402710937,11.8
173,Wyoming,cavaliers,13,-0.03645,0.5
174,Oklahoma,pelicans,130,0.165636111,3.8
175,Wisconsin,pelicans,64,0.054055702,1.375
176,Ohio,grizzlies,37,-0.063333333,1
177,Georgia,kings,37,0.07069,1.5
178,Louisiana,sixers,826,-0.223392272,0.420634921
179,South Carolina,pacers,214,0.262029167,5
180,Connecticut,pacers,226,0.191115278,2.428571429
181,Florida,jazz,133,-0.140934028,0.411764706
182,New York,knicks,1093,0.075711183,2.164383562
183,South Carolina,cavaliers,136,0.086116,0.785714286
184,Georgia,celtics,418,0.29636746,5
185,Maryland,raptors,46,-0.08395,0.833333333
186,South Carolina,warriors,28,0.06845,3
187,Tennessee,celtics,388,0.317713433,3.466666667
188,Texas,sixers,3568,-0.322722676,0.234234234
189,Indiana,hawks,16,0.033083333,0.5
190,Texas,cavaliers,4138,0.055691949,1.286096257
191,Kansas,hawks,13,-0.17695,0.333333333
192,Louisiana,celtics,205,0.342685484,14.5
193,Massachusetts,spurs,28,0.072103333,4
194,Nevada,pacers,271,0.062325595,1.545454545
195,Nevada,pistons,58,0.296365,4
196,Wisconsin,celtics,202,0.170950538,2.875
197,Alabama,jazz,28,-0.134975,0.5
198,Arkansas,wizards,7,-0.0998,1
199,Florida,sixers,1597,-0.257463621,0.266666667
200,Hawaii,thunder,43,0.3125,3
201,Kansas,celtics,223,0.103105882,2.4
202,New Jersey,bucks,595,0.36605,1
203,New York,spurs,130,-0.053459524,1.333333333
204,Wisconsin,sixers,445,-0.380400505,0.151162791
205,Iowa,bulls,7,0.097775,1
206,Arizona,nuggets,76,0.080690909,1.2
207,Arkansas,warriors,82,-0.041458333,0.357142857
208,Colorado,knicks,13,0.073566667,2
209,Louisiana,kings,25,0.040675,1
210,Missouri,sixers,544,-0.374847845,0.171717172
211,New Hampshire,thunder,28,0.298083333,2
212,North Carolina,celtics,397,0.186375,3.615384615
213,Georgia,bucks,1153,0.177840476,1.333333333
214,Illinois,grizzlies,64,-0.0906125,0.333333333
215,Michigan,celtics,409,0.248662963,3.090909091
216,Virginia,timberwolves,55,0.0343,1.2
217,Florida,bulls,169,0.18922381,1.916666667
218,Georgia,heat,82,0.387421111,14
219,Nebraska,pacers,58,0.381216667,5
220,New Hampshire,cavaliers,22,0.23436,1.5
221,Connecticut,nuggets,31,-0.006291667,1
222,District of Columbia,knicks,34,0.05897,0.666666667
223,Kansas,warriors,163,0.03136625,1.222222222
224,Pennsylvania,celtics,382,0.289869531,4.333333333
225,Washington,sixers,448,-0.308461974,0.256097561
226,Wisconsin,nuggets,43,0.150838889,2
227,Kansas,rockets,481,0.083203184,1.870967742
228,Kentucky,jazz,154,-0.161690909,0.5
229,Texas,jazz,328,-0.052225385,0.756756757
230,Arizona,pacers,319,0.167031731,1.736842105
231,California,clippers,706,0.31121701,6.157894737
232,Indiana,warriors,142,0.005360119,1
233,Massachusetts,bucks,577,0.176825,7
234,Massachusetts,timberwolves,142,0.157011111,2
235,North Carolina,pelicans,139,0.13459951,3.25
236,Oklahoma,bucks,424,0.205307143,6
237,Indiana,nuggets,448,0.057071549,1.538461538
238,Missouri,bucks,583,0.144083333,1
239,Pennsylvania,bucks,1231,0.110554545,1.2
240,Virginia,pelicans,100,0.139132143,4.6
241,North Carolina,heat,49,0.211136667,4
242,Ohio,pelicans,139,0.143704301,2.444444444
243,Texas,raptors,145,0.2059,4
244,Arizona,lakers,178,0.227846875,7
245,Massachusetts,thunder,463,0.242054762,3
246,New Jersey,lakers,172,0.229883333,3.375
247,Arizona,blazers,55,-0.301,0.222222222
248,Arkansas,raptors,10,0.1768,2
249,Louisiana,pacers,262,0.21776713,2.6
250,Maryland,pacers,787,0.194290306,3.9
251,Alabama,pacers,166,0.123694444,2
252,Florida,hornets,55,0.1734,2
253,Indiana,celtics,208,0.299748387,3.428571429
254,Louisiana,rockets,655,0.024800292,1.425531915
255,Ohio,lakers,211,0.160496,3.166666667
256,Virginia,hawks,58,0.231932143,1.8
257,Virginia,hornets,28,0.172266667,2
258,New Hampshire,raptors,10,-0.253025,1
259,South Carolina,sixers,370,-0.323300633,0.144927536
260,Texas,lakers,916,0.138575926,2.461538462
261,Connecticut,knicks,46,0.043528571,1
262,District of Columbia,kings,31,0.24125,1.333333333
263,Georgia,wizards,34,0.0624125,1.666666667
264,Ohio,knicks,67,0.059366667,1.4
265,Tennessee,lakers,160,0.1389,2.6
266,Indiana,pacers,10528,0.027497513,1.519582245
267,Maine,pelicans,13,0.20815,2
268,Ohio,jazz,73,-0.104910606,0.833333333
269,Texas,rockets,13057,0.080951143,1.952506596
270,Arkansas,lakers,97,0.15046,1.5
271,Illinois,nuggets,106,-0.035811111,2
272,Massachusetts,raptors,49,0.314088889,3.5
273,California,bulls,520,0.183900181,2.833333333
274,California,hawks,226,0.296557812,5.4
275,Louisiana,jazz,37,-0.050225,1
276,Oklahoma,sixers,511,-0.352757944,0.215909091
277,Utah,pacers,235,0.154517143,3.375
278,Vermont,cavaliers,31,0.069583333,2
279,California,suns,64,0.17251,4
280,New York,wizards,124,-0.156253704,0.8
281,Oklahoma,knicks,85,0.022883333,1.5
282,Oklahoma,warriors,172,-0.0334875,0.789473684
283,Pennsylvania,pacers,811,0.158872549,2.162790698
284,Tennessee,timberwolves,40,0.090346296,1.25
285,Utah,warriors,64,-0.023800926,0.636363636
286,California,sixers,3568,-0.273992891,0.304878049
287,West Virginia,pacers,118,0.202996429,2.5
288,Connecticut,pistons,28,0.153078571,2.5
289,Illinois,lakers,256,0.081749612,1.529411765
290,Massachusetts,rockets,727,0.078614272,1.5
291,Tennessee,grizzlies,334,-0.092635753,0.631578947
292,Connecticut,thunder,133,0.450675641,12
293,Missouri,jazz,40,-0.25465,0.142857143
294,Oklahoma,suns,19,-0.067675,0.5
295,Vermont,sixers,49,-0.339035714,0.166666667
296,Arizona,spurs,55,0.201843939,4.5
297,California,knicks,430,0.045511508,1.470588235
298,Connecticut,pelicans,49,0.248916667,11
299,New Jersey,rockets,697,0.084082828,1.475
300,Georgia,warriors,226,0.069255682,1.444444444
301,Missouri,raptors,13,0.16435,1
302,New Jersey,raptors,16,0.017116667,2
303,New Mexico,thunder,64,0.20015,2
304,Hawaii,celtics,91,0.18724386,3.75
305,Ohio,kings,91,-0.1791175,0.111111111
306,Nevada,rockets,421,0.033307073,1.516129032
307,Texas,warriors,637,0.008222316,1.31372549
308,Virginia,rockets,523,0.003888519,1.195121951
309,California,pistons,394,0.142104348,2
310,Maine,rockets,43,0.007210606,1.2
311,New Jersey,cavaliers,430,0.03949984,0.88
312,New York,timberwolves,154,0.244420588,7.5
313,Kentucky,rockets,421,-0.026748276,1.023255814
314,Massachusetts,pistons,466,0.088379739,1.684210526
315,Georgia,pacers,970,0.126346528,2.529411765
316,Ohio,bulls,190,0.164095679,2.375
317,Iowa,pistons,13,-0.084,1
318,Iowa,rockets,73,0.041392593,2
319,Utah,bucks,298,-0.28604,0.25
320,District of Columbia,clippers,130,0.137130769,2.714285714
321,Louisiana,cavaliers,397,0.046994737,0.652173913
322,Maryland,bulls,61,0.3692,6
323,Michigan,blazers,109,-0.330690909,0.222222222
324,New York,kings,88,-0.11365,1
325,Ohio,blazers,40,-0.243688889,0.285714286
326,Pennsylvania,lakers,286,0.085632639,1.666666667
327,Kansas,pelicans,79,0.127865873,4.25
328,Michigan,nuggets,178,-0.1942,0.166666667
329,North Carolina,warriors,241,0.126752652,3.4
330,Connecticut,sixers,343,-0.278515714,0.166666667
331,Florida,heat,772,0.29829382,5.846153846
332,Minnesota,cavaliers,316,-0.037242199,0.807692308
333,New Hampshire,warriors,25,0.30618,4
334,Texas,grizzlies,16,-0.225041667,1
335,Illinois,raptors,91,0.198116667,2
336,North Dakota,sixers,94,-0.250016667,0.235294118
337,Oregon,spurs,19,-0.0937,2
338,Rhode Island,cavaliers,43,0.131597917,1.666666667
339,Florida,lakers,340,0.204783212,4.5
340,Arizona,pelicans,55,0.208238889,8
341,Colorado,pistons,73,0.1847875,3.5
342,North Carolina,jazz,88,-0.291484615,0.625
343,Oregon,pacers,322,0.239763953,4.375
344,Tennessee,warriors,73,0.049086111,0.8
345,Kansas,pacers,289,0.259213636,5.285714286
346,Mississippi,hawks,25,0.2447,3
347,Oklahoma,raptors,64,0.245545455,4.5
348,Florida,nuggets,109,0.00295625,1
349,Pennsylvania,blazers,67,-0.389428571,0.076923077
350,Washington,pelicans,103,0.20347931,2.625
351,California,mavericks,307,0.327672297,6.4
352,Florida,pelicans,232,0.212389052,7.5
353,New Mexico,cavaliers,229,0.160068333,1.142857143
354,West Virginia,cavaliers,79,0.232178889,2.6
355,Wyoming,rockets,40,0.083009259,1.25
356,Florida,spurs,31,0.232411111,3.5
357,Minnesota,pacers,205,0.137833333,2
358,Wisconsin,cavaliers,646,0.027799153,0.532467532
359,Missouri,rockets,367,0.070949074,1.842105263
360,Ohio,sixers,1225,-0.255903285,0.298578199
361,Oregon,blazers,394,-0.013395029,0.676470588
362,Oregon,pistons,22,0.205475,5
363,Oregon,rockets,778,0.102797541,2.175438596
364,Arkansas,pacers,133,-0.040980208,1
365,Colorado,lakers,181,0.130153333,4
366,North Carolina,bucks,874,0.492614286,6
367,Virginia,spurs,28,0.00545,3
368,Colorado,heat,34,0.16868,4
369,Georgia,nuggets,40,0.014566667,0.5
370,Iowa,lakers,43,-0.005063636,1.75
371,Mississippi,pelicans,76,0.084586,0.923076923
372,Nevada,nets,10,-0.08255,1
373,New Jersey,blazers,34,-0.31519,0.25
374,Texas,clippers,199,0.28721478,7.833333333
375,Washington,thunder,322,0.314678148,4
376,Arizona,jazz,58,-0.1916,0.4
377,Kansas,timberwolves,91,0.3606,7.333333333
378,Oklahoma,hawks,109,0.29515,8
379,Pennsylvania,clippers,124,0.270705,6.5
380,Utah,cavaliers,379,0.043375,0.571428571
381,Utah,clippers,25,0.251883333,2
382,Utah,lakers,55,0.216554545,4.5
383,California,grizzlies,112,0.011497368,1.714285714
384,Georgia,cavaliers,754,0.067531155,0.961538462
385,Iowa,sixers,172,-0.493134884,0.048780488
386,New Mexico,rockets,166,0.125146717,2.3
387,Connecticut,bulls,178,-0.16318617,0.807692308
388,Michigan,cavaliers,649,0.00483978,0.859649123
389,Washington,cavaliers,508,0.192395128,1.736842105
390,Maryland,pelicans,64,0.3132,4.333333333
391,Montana,cavaliers,19,0.008736,1.5
392,Nebraska,bulls,22,0.3747625,3
393,Arizona,warriors,91,0.159140741,5
394,Michigan,bucks,775,0.380063889,8
395,Minnesota,timberwolves,583,0.275238889,6.333333333
396,Missouri,celtics,277,0.185332143,2.818181818
397,Oregon,nuggets,31,0.160663889,2
398,California,magic,151,0.198265,3
399,Illinois,thunder,799,0.31913,3.090909091
400,Pennsylvania,heat,73,0.160733333,1.25
401,Wisconsin,bucks,2509,0.282756,4
402,District of Columbia,cavaliers,601,0.125486047,1.263157895
403,Hawaii,rockets,73,0.098381944,3
404,Maine,lakers,10,0.148666667,2
405,Missouri,thunder,289,0.240248438,3
406,New Jersey,warriors,184,-0.04203625,1.4
407,Utah,thunder,130,0.397274405,4.6
408,West Virginia,warriors,28,0.116794444,2
409,Wisconsin,clippers,79,-0.007286842,1.375
410,Alabama,warriors,76,-0.14715,0.857142857
411,Idaho,celtics,16,0.1042375,3
412,Illinois,bucks,1339,0.254522222,8
413,Illinois,hawks,61,0.249691667,5
414,Illinois,mavericks,73,-0.2696,0.166666667
415,Minnesota,mavericks,100,0.307064062,7
416,Kansas,nuggets,19,-0.073725,1
417,Nevada,lakers,154,0.275911111,17
418,North Carolina,blazers,52,-0.363675,0.111111111
419,Tennessee,heat,34,-0.026464286,0.75
420,Virginia,knicks,40,-0.013507143,6
421,New York,mavericks,310,0.099269136,0.8
422,Texas,blazers,496,-0.299068889,0.232876712
423,District of Columbia,warriors,124,0.019123684,1.375
424,Kentucky,clippers,25,0.1611,4
425,New Jersey,spurs,49,0.320831944,5
426,Texas,knicks,190,-0.079880808,0.65
427,Alaska,cavaliers,13,0.013241667,1
428,Florida,cavaliers,1501,0.026648009,0.736196319
429,Florida,thunder,994,0.292504841,2.75
430,Illinois,wizards,49,0.03486,1.5
431,New York,cavaliers,1825,0.086033816,1.320895522
432,South Carolina,lakers,91,0.102305,2.333333333
433,Iowa,thunder,73,0.262514286,1.333333333
434,Illinois,heat,103,0.304253125,7
435,New York,warriors,502,0.110186015,1.636363636
436,Ohio,raptors,52,-0.228035714,0.4
437,Massachusetts,pelicans,187,0.212105229,3.25
438,Pennsylvania,thunder,538,0.341662025,4.266666667
439,Colorado,celtics,268,0.490530882,16
440,Indiana,spurs,13,-0.1321125,0.333333333
441,Pennsylvania,sixers,7171,-0.277936947,0.170254403
442,California,pacers,2317,0.291979635,5.037735849
443,Delaware,pacers,43,-0.02788,1.5
444,South Dakota,sixers,28,-0.0402,1
445,Texas,bulls,325,0.235732292,3
446,Virginia,thunder,286,0.434449537,6.2
447,New York,hawks,325,0.258204054,3.625
448,South Carolina,kings,22,0.024433333,1
449,Kansas,pistons,49,0.289658333,11
450,New Mexico,bucks,97,0.108877778,0.8
451,North Carolina,spurs,55,-0.23109375,1
452,Louisiana,pelicans,1045,0.11077297,1.571428571
453,New York,rockets,2380,0.036373777,1.358974359
454,Illinois,knicks,112,0.091931818,2.666666667
455,Michigan,lakers,253,0.213766667,6.2
456,Nevada,nuggets,19,-0.15355,0.333333333
457,New York,jazz,190,-0.215043434,0.222222222
458,Washington,lakers,127,0.05718,2
459,Oklahoma,spurs,43,0.047516667,1
460,Pennsylvania,mavericks,31,-0.110471429,0.75
461,Connecticut,lakers,79,0.173315625,3
462,Kentucky,pelicans,115,0.124661364,1.75
463,Michigan,pistons,679,0.000990326,1.166666667
464,Alabama,sixers,265,-0.292991824,0.23255814
465,California,blazers,328,-0.263497727,0.257142857
466,District of Columbia,jazz,40,0.028025,1
467,Kentucky,bulls,22,0,1
468,Maryland,hawks,19,0.16311,1.5
469,Massachusetts,celtics,2533,0.194174084,1.971830986
470,Minnesota,warriors,52,-0.092218519,0.5
471,Ohio,rockets,925,-0.078600654,0.75862069
472,California,bucks,3355,0.159179798,2.3
473,Florida,rockets,1636,0.111700385,2.095238095
474,Massachusetts,mavericks,19,0.067925,1
475,New Jersey,knicks,208,-0.028526471,1.266666667
476,Wisconsin,bulls,73,0.242744118,2.4
477,California,nuggets,139,-0.115260714,0.4
478,Illinois,sixers,1543,-0.293762989,0.223628692
479,New York,sixers,2275,-0.312658278,0.234972678
480,Pennsylvania,rockets,1075,0.080984277,1.839285714
481,Pennsylvania,timberwolves,25,0.142191667,3
482,Massachusetts,warriors,133,-0.04701625,0.818181818
483,Missouri,heat,25,0.350466667,2
484,New York,grizzlies,124,0.193483333,2
485,Georgia,lakers,241,0.078961111,1.833333333
486,Minnesota,thunder,217,0.279035366,3.1
487,Nebraska,warriors,31,0.08216,1.5
488,New York,nets,289,0.372183333,11
489,New York,pacers,1870,0.185952011,3.109589041
490,Tennessee,bucks,430,0.4958,2
491,Washington,knicks,16,-0.023525,1
492,Wisconsin,pacers,220,0.088129167,1.285714286
493,Virginia,bucks,697,-0.330716667,0.5
494,Oregon,sixers,271,-0.306754839,0.148148148
495,Arkansas,pelicans,40,0.337660256,12
496,Colorado,warriors,55,-0.044295455,0.833333333
497,District of Columbia,celtics,151,0.278981818,6.333333333
498,Florida,kings,73,-0.090391667,0.2
499,Illinois,jazz,97,-0.146459167,0.25
500,Illinois,suns,82,0.184077273,1.75
501,Nevada,pelicans,52,0.25405,7
502,North Carolina,sixers,946,-0.326864352,0.213483146
503,Virginia,bulls,28,0.25112,4
504,Arkansas,celtics,151,0.239998387,3.428571429
505,Florida,timberwolves,79,0.261973077,12
506,Hawaii,sixers,58,-0.317304545,0.375
507,Washington,celtics,295,0.29539364,4.428571429
508,Maryland,jazz,64,-0.091654545,1.75
509,Massachusetts,cavaliers,541,0.069101463,1.512820513
510,Mississippi,celtics,52,0.334968182,10
511,New York,celtics,1027,0.299982158,6.037037037
512,Rhode Island,bulls,85,0.125215909,3.4
513,Tennessee,sixers,469,-0.335774092,0.21686747
514,Virginia,cavaliers,529,0.046018561,0.795918367
515,Arkansas,rockets,247,0.062526531,2.5
516,Hawaii,cavaliers,244,0.04525303,0.375
517,Kansas,wizards,34,-0.28106,0.25
518,Kentucky,cavaliers,436,0.034189863,0.780487805
519,North Dakota,warriors,7,0.00945,1
520,Texas,nuggets,124,-0.00325,0.777777778
521,Alabama,cavaliers,241,0.04855234,0.807692308
522,Maine,pistons,16,-0.05435,1
523,Michigan,hawks,34,0.15859375,1.666666667
524,Maryland,spurs,19,-0.191158333,1
525,Nevada,knicks,46,0.118444444,3.5
526,Oklahoma,pacers,475,0.11830502,2.192307692
527,Texas,mavericks,664,0.095564286,1.8
528,Illinois,warriors,277,0.157167094,2.25
529,North Carolina,rockets,1063,0.018900725,1.333333333
530,Oregon,pelicans,22,-0.07973,0.666666667
531,Oregon,warriors,109,0.08605,1.571428571
532,District of Columbia,pistons,28,0.265366667,5
533,Indiana,rockets,349,0.049333333,1.285714286
534,Kansas,thunder,385,0.444426836,13.75
535,Nebraska,sixers,121,-0.339185,0.176470588
536,Oklahoma,lakers,130,0.044548148,1
537,South Carolina,jazz,16,0.119025,1
538,Florida,hawks,160,0.043355263,0.727272727
539,Kansas,mavericks,40,-0.009925,1
540,Maryland,wizards,94,-0.113482407,0.636363636
541,Nevada,kings,28,-0.019316667,1
542,Tennessee,blazers,28,-0.162433333,0.5
543,Texas,thunder,2191,0.367122996,5.236842105
544,Alabama,rockets,364,0.085571895,2.642857143
545,Kansas,knicks,97,-0.06913,0.875
546,Massachusetts,bulls,100,0.235108333,3.5
547,Tennessee,raptors,16,0.16255,2
548,Texas,bucks,3265,0.090709259,1.25
549,Arizona,heat,43,0.177071429,2.5
550,Colorado,timberwolves,25,0.082977778,2
551,Montana,sixers,34,-0.247283333,0.5
552,North Carolina,mavericks,43,0.234,3
553,Washington,bulls,55,-0.1635875,0.6
554,Florida,clippers,145,0.394192308,12
555,Georgia,thunder,667,0.366520576,3.764705882
556,Michigan,thunder,508,0.213809954,1.769230769
557,New York,hornets,160,-0.135818182,0.375
558,Tennessee,bulls,52,0.071575,1
559,Texas,magic,37,0.102814286,2.5
560,Utah,pistons,16,-0.202013333,0.25
561,Wisconsin,thunder,172,0.444794048,8.333333333
562,Connecticut,celtics,115,0.285308696,10.5
563,Georgia,pistons,82,0.217463889,2.6
564,Michigan,bulls,40,0.2749,4
565,North Carolina,clippers,91,0.261944444,5
566,South Carolina,timberwolves,49,0.238030769,12
567,New York,heat,214,0.280667262,8.333333333
568,Ohio,warriors,259,0.04103547,1.166666667
569,Tennessee,cavaliers,502,0.056499216,0.666666667
570,Texas,nets,16,0.330175,3
571,Washington,blazers,85,-0.17467,0.25
572,Arizona,rockets,388,0.001546222,1.419354839
573,Arkansas,thunder,139,0.34955,4.5
574,Colorado,pacers,295,0.058771505,1.384615385
575,Idaho,cavaliers,112,-0.021490909,0.294117647
576,Wisconsin,jazz,223,-0.194519394,0.30952381
577,Florida,pacers,1243,0.202172472,3.341463415
578,Illinois,clippers,139,0.2774875,15
579,Kentucky,pacers,295,0.233029487,4.2
580,Virginia,heat,31,0.407275,3
581,Massachusetts,sixers,556,-0.283507018,0.291262136
582,Oklahoma,blazers,76,-0.145583333,0.2
583,Rhode Island,pacers,55,0.230221429,6
584,Alabama,celtics,184,0.373805702,8.5
585,Missouri,bulls,52,0.041061538,1.166666667
